Courses by Dept w Enrlmt,3774,,,,,,,,,,
Acad Org,Current Status,Course ID,Subject,Catalog,Section,Term,Term2,Title,Tot Enrl,Component,Instructor
16300,Active,8742,MA,231,02B,4209,Fall 2020,Calculus III,34,LEC,"Athavale,Prashant Vinayak"
16300,Active,8742,MA,231,21,4209,Fall 2020,Calculus III,16,DIS,"Athavale,Prashant Vinayak"
16300,Active,8742,MA,231,21,4219,Fall 2021,Calculus III,7,DIS,"Athavale,Prashant Vinayak"
16300,Active,8742,MA,231,22,4209,Fall 2020,Calculus III,17,DIS,"Athavale,Prashant Vinayak"
16300,Active,8742,MA,231,22,4219,Fall 2021,Calculus III,23,DIS,"Athavale,Prashant Vinayak"
16300,Active,8742,MA,231,23,4209,Fall 2020,Calculus III,10,DIS,"Athavale,Prashant Vinayak"
16300,Active,8742,MA,231,23,4219,Fall 2021,Calculus III,10,DIS,"Athavale,Prashant Vinayak"
16300,Active,8742,MA,231,24,4209,Fall 2020,Calculus III,26,DIS,"Athavale,Prashant Vinayak"
16300,Active,8742,MA,231,24,4219,Fall 2021,Calculus III,15,DIS,"Athavale,Prashant Vinayak"
16300,Active,11398,STAT,318,10,4222,Spring 2022,Biostatistics,0,LAB,"Athavale,Prashant Vinayak"
16300,Active,8762,MA,330,1,4189,Fall 2018,Adv Engineering Mathematics,70,LEC,"Athavale,Prashant Vinayak"
16300,Active,8762,MA,330,1,4192,Spring 2019,Adv Engineering Mathematics,68,LEC,"Athavale,Prashant Vinayak"
16300,Active,8762,MA,330,2,4189,Fall 2018,Adv Engineering Mathematics,66,LEC,"Athavale,Prashant Vinayak"
16300,Active,8762,MA,330,11,4189,Fall 2018,Adv Engineering Mathematics,73,DIS,"Athavale,Prashant Vinayak"
16300,Active,8762,MA,330,11,4192,Spring 2019,Adv Engineering Mathematics,68,DIS,"Athavale,Prashant Vinayak"
16300,Active,8762,MA,330,21,4189,Fall 2018,Adv Engineering Mathematics,63,DIS,"Athavale,Prashant Vinayak"
16300,Active,8780,STAT,384,1,4222,Spring 2022,Advanced Applied Statistics,0,LEC,"Athavale,Prashant Vinayak"
16300,Active,8822,MA,497,129,4212,Spring 2021,Undergraduate Research,0,RSC,"Athavale,Prashant Vinayak"
